Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,flops_log,flops_threshold,is_matmul_candidate,shared_ratio_mean,role
"void at::<unnamed>::distribution_elementwise_grid_stride_kernel<float, 4, void templates::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void templates::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",1,126976.0,319488.0,0,0,0.0,319488.0,319488.0,0.0,128.0,0.0,0.0,16384.0,2.304,2.304,8192.0,57344.0,126976.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,12.67447812341205,13.578833812413194,False,0.2539703655095043,other
ampere_sgemm_32x32_sliced1x4_tn,2,33554432.0,68943872.0,0,0,0.0,68943872.0,68943872.0,229376.0,37888.0,0.8582375478927203,4718592.0,131072.0,9.248,11.552,786432.0,1048576.0,33554432.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,147456.0,4096.0,18.04880329676133,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",3,0.0,36864.0,0,0,0.0,36864.0,36864.0,0.0,1152.0,0.0,131072.0,16384.0,2.272,13.824,32768.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4096.0,512.0,10.515017870423751,13.578833812413194,False,0.2539703655095043,splitKreduce
ampere_sgemm_32x32_sliced1x4_tn,4,33554432.0,68943872.0,0,0,0.0,68943872.0,68943872.0,229376.0,37888.0,0.8582375478927203,4718592.0,131072.0,9.184,23.008,786432.0,1048576.0,33554432.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,147456.0,4096.0,18.04880329676133,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",5,0.0,36864.0,0,0,0.0,36864.0,36864.0,0.0,1152.0,0.0,131072.0,16384.0,2.24,25.248,32768.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4096.0,512.0,10.515017870423751,13.578833812413194,False,0.2539703655095043,splitKreduce
"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",6,0.0,0.0,0,0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,16384.0,1.696,26.944,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,13.578833812413194,False,0.2539703655095043,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",7,1048576.0,2359296.0,0,0,0.0,2359296.0,2359296.0,22016.0,14336.0,0.6056338028169014,1572864.0,21248.0,4.384,31.328,131072.0,131072.0,1048576.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,49152.0,664.0,14.673874251270396,13.578833812413194,True,0.2539703655095043,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",8,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,2.08,33.408,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,9.011035410141815,13.578833812413194,False,0.2539703655095043,other
ampere_sgemm_32x32_sliced1x4_tn,9,25165824.0,51249152.0,0,0,0.0,51249152.0,51249152.0,155648.0,28160.0,0.8467966573816156,3538944.0,65536.0,8.224,41.632000000000005,393216.0,524288.0,25165824.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,110592.0,2048.0,17.752209649016955,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",10,0.0,20480.0,0,0,0.0,20480.0,20480.0,0.0,640.0,0.0,65536.0,16384.0,2.176,43.80800000000001,16384.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2048.0,512.0,9.92725290608639,13.578833812413194,False,0.2539703655095043,splitKreduce
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",11,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,2.08,45.888000000000005,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,9.011035410141815,13.578833812413194,False,0.2539703655095043,other
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",12,4100.0,8444.0,0,0,0.0,8444.0,8444.0,112.0,516.0,0.1783439490445859,32768.0,128.0,2.88,48.76800000000001,244.0,0.0,4100.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.0,4.0,9.041329829241901,13.578833812413194,False,0.2539703655095043,other
"void at::vectorized_elementwise_kernel<4, at::BUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",13,0.0,4.0,0,0,0.0,4.0,4.0,0.0,2.0,0.0,32.0,32.0,2.08,50.848000000000006,0.0,4.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6094379124341003,13.578833812413194,False,0.2539703655095043,other
"void <unnamed>::softmax_warp_forward<float, float, float, 0, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",14,1044.0,2608.0,0,0,0.0,2608.0,2608.0,0.0,4.0,0.0,32.0,32.0,2.176,53.02400000000001,516.0,4.0,1044.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.866722285136729,13.578833812413194,False,0.2539703655095043,other
"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",15,0.0,8192.0,0,0,0.0,8192.0,8192.0,512.0,384.0,0.5714285714285714,20480.0,16384.0,2.144,55.168000000000006,0.0,8192.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,640.0,512.0,9.011035410141815,13.578833812413194,False,0.2539703655095043,other
ampere_sgemm_32x32_sliced1x4_tn,16,16777216.0,34471936.0,0,0,0.0,34471936.0,34471936.0,114688.0,18944.0,0.8582375478927203,2359296.0,65536.0,6.976,62.144000000000005,393216.0,524288.0,16777216.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,73728.0,2048.0,17.35565613070594,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",17,0.0,18432.0,0,0,0.0,18432.0,18432.0,0.0,576.0,0.0,65536.0,8192.0,2.176,64.32000000000001,16384.0,2048.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2048.0,256.0,9.821897815496174,13.578833812413194,False,0.2539703655095043,splitKreduce
ampere_sgemm_32x32_sliced1x4_tn,18,16777216.0,34471936.0,0,0,0.0,34471936.0,34471936.0,114688.0,18944.0,0.8582375478927203,2359296.0,65536.0,7.008,71.328,393216.0,524288.0,16777216.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,73728.0,2048.0,17.35565613070594,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",19,0.0,18432.0,0,0,0.0,18432.0,18432.0,0.0,576.0,0.0,65536.0,8192.0,2.176,73.504,16384.0,2048.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2048.0,256.0,9.821897815496174,13.578833812413194,False,0.2539703655095043,splitKreduce
"void at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsigned int, 3, 128, 1>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,160.0,0.0,16384.0,16384.0,2.56,76.06400000000001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,512.0,512.0,0.0,13.578833812413194,False,0.2539703655095043,other
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",21,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,16384.0,2.048,78.11200000000001,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.0,512.0,9.011035410141815,13.578833812413194,False,0.2539703655095043,add
"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,65536.0,1.76,79.87200000000001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,0.0,13.578833812413194,False,0.2539703655095043,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",23,12582912.0,27787264.0,0,0,0.0,27787264.0,27787264.0,194560.0,155648.0,0.5555555555555556,14752512.0,84096.0,16.576,96.448,1048576.0,1572864.0,12582912.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,461016.0,2628.0,17.140088380178792,13.578833812413194,True,0.2539703655095043,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",24,16384.0,32768.0,0,0,0.0,32768.0,32768.0,0.0,384.0,0.0,131072.0,0.0,2.144,98.592,0.0,0.0,16384.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,10.397238225511654,13.578833812413194,False,0.2539703655095043,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",25,4194304.0,9437184.0,0,0,0.0,9437184.0,9437184.0,88064.0,57344.0,0.6056338028169014,4718592.0,86720.0,7.904,106.496,524288.0,524288.0,4194304.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,147456.0,2710.0,16.060168294498933,13.578833812413194,True,0.2539703655095043,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",26,16384.0,32768.0,0,0,0.0,32768.0,32768.0,0.0,384.0,0.0,131072.0,0.0,2.144,108.64,0.0,0.0,16384.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0,10.397238225511654,13.578833812413194,False,0.2539703655095043,other
"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",27,114688.0,311621.0,0,0,0.0,311621.0,311621.0,0.0,256.0,0.0,65536.0,65536.0,2.272,110.91200000000002,16709.0,65536.0,114688.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2048.0,2048.0,12.649546193824044,13.578833812413194,False,0.2539703655095043,other
ampere_sgemm_64x32_sliced1x4_tn,28,134217728.0,270270464.0,0,0,0.0,270270464.0,270270464.0,651264.0,140288.0,0.8227684346701164,17825792.0,131072.0,22.432,133.34400000000002,786432.0,1048576.0,134217728.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,557056.0,4096.0,19.414933737795973,13.578833812413194,True,0.2539703655095043,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",29,0.0,36864.0,0,0,0.0,36864.0,36864.0,0.0,1152.0,0.0,131072.0,16384.0,2.208,135.55200000000002,32768.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4096.0,512.0,10.515017870423751,13.578833812413194,False,0.2539703655095043,splitKreduce
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",30,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,16384.0,2.048,137.60000000000002,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1024.0,512.0,9.011035410141815,13.578833812413194,False,0.2539703655095043,add
